product_name,energy-kcal_100g,proteins_100g,fat_100g,carbohydrates_100g,fiber_100g,iron_100g,calcium_100g,vitamin-d_100g,vitamin-b12_100g,vitamin-b9_100g,iodine_100g,potassium_100g,magnesium_100g,gluten-free,vegan,low-cost,dairy_free
Spinach,23,2.9,0.4,3.6,2.2,2.7,99,0,0,194,20,558,79,yes,yes,yes,yes
Chicken Breast,165,31,3.6,0,0,0.7,15,0.7,0.3,6,7,256,27,no,no,no,no
Salmon,208,20,13,0,0,0.3,9,13.15,2.8,25,30,490,30,no,no,no,no
Greek Yogurt,59,10,0.4,3.6,0,0.1,110,0.125,0.9,12,5,141,11,no,no,no,no
Tofu,76,8,4.8,1.9,0.3,2.7,350,0,0,25,0,121,35,yes,yes,yes,yes
Lentils,116,9,0.4,20,8,3.3,19,0,0,181,3,369,36,yes,yes,yes,yes
Oats,389,16.9,6.9,66.3,10.6,4.7,54,0,0,56,2,429,177,yes,yes,yes,yes
Brown Rice,111,2.6,0.9,23,1.8,0.4,10,0,0,9,1,79,44,yes,yes,yes,yes
Olive Oil,884,0,100,0,0,0,1,0,0,0,0,1,1,yes,yes,yes,yes
Banana,89,1.1,0.3,23,2.6,0.3,5,0,0,20,1,358,27,yes,yes,yes,yes
Eggs,155,13,11,1.1,0,1.2,56,2,1.1,44,20,138,12,no,no,yes,no
Milk,42,3.4,1,5,0,0.1,113,1.3,0.5,5,9,150,10,no,no,yes,no
Broccoli,34,2.8,0.4,7,2.6,0.7,47,0,0,63,15,316,21,yes,yes,yes,yes
Sweet Potato,86,1.6,0.1,20,3,0.6,30,0,0,11,1,337,25,yes,yes,yes,yes
Almonds,579,21,50,22,12,3.7,269,0,0,44,2,733,270,yes,yes,no,yes
